step,upright,speed,reward,skill_name,fault_active
129,0.9877,0.3011,0.4996,walk_forward,False
130,0.985,0.2384,0.5399,walk_forward,False
131,0.9835,0.103,0.5248,walk_forward,False
132,0.9829,0.028,0.5173,walk_forward,False
133,0.983,0.0834,0.5591,walk_forward,False
134,0.9837,0.1133,0.5267,walk_forward,False
135,0.9846,0.1234,0.5398,walk_forward,False
136,0.9856,0.1031,0.5409,walk_forward,False
137,0.9864,0.0978,0.5089,walk_forward,False
138,0.9872,0.0894,0.5056,walk_forward,False
139,0.9878,0.0644,0.5165,walk_forward,False
140,0.9884,0.0506,0.4965,walk_forward,False
141,0.9891,0.0713,0.5023,walk_forward,False
142,0.99,0.0903,0.4886,walk_forward,False
143,0.991,0.1026,0.4762,walk_forward,False
144,0.992,0.1067,0.4747,walk_forward,False
145,0.9929,0.1164,0.4672,walk_forward,False
146,0.9937,0.1019,0.4778,walk_forward,False
147,0.9944,0.0839,0.4872,walk_forward,False
148,0.995,0.0814,0.4827,walk_forward,False
149,0.9955,0.0697,0.4865,walk_forward,False
150,0.9959,0.0649,0.4911,walk_forward,False
151,0.9966,0.0981,0.4903,walk_forward,False
152,0.9973,0.1544,0.4671,walk_forward,False
153,0.9981,0.1958,0.4538,walk_forward,False
154,0.9988,0.212,0.4526,walk_forward,False
155,0.9994,0.211,0.4615,walk_forward,False
156,0.9997,0.2054,0.4763,walk_forward,False
157,0.9999,0.1889,0.4937,walk_forward,False
158,1.0,0.1645,0.526,walk_forward,False
159,1.0,0.1516,0.5506,walk_forward,False
160,0.9999,0.1261,0.5752,walk_forward,False
161,0.9999,0.0392,0.5388,walk_forward,False
162,1.0,0.1598,0.4973,walk_forward,False
163,0.9999,0.3155,0.4897,walk_forward,False
164,0.9994,0.3902,0.4613,walk_forward,False
165,0.9981,0.4365,0.4493,walk_forward,False
166,0.9961,0.4664,0.4822,walk_forward,False
167,0.9934,0.4209,0.4851,walk_forward,False
168,0.9905,0.3439,0.457,walk_forward,False
169,0.9876,0.3064,0.5012,walk_forward,False
170,0.9851,0.2222,0.5215,walk_forward,False
171,0.9834,0.1179,0.5277,walk_forward,False
172,0.9829,0.0212,0.5143,walk_forward,False
173,0.983,0.0806,0.5582,walk_forward,False
174,0.9837,0.1121,0.5269,walk_forward,False
175,0.9846,0.1259,0.5441,walk_forward,False
176,0.9856,0.1065,0.5393,walk_forward,False
177,0.9864,0.0983,0.5109,walk_forward,False
178,0.9872,0.0892,0.5071,walk_forward,False
179,0.9878,0.0667,0.5135,walk_forward,False
180,0.9885,0.0513,0.4976,walk_forward,False
181,0.9891,0.0701,0.504,walk_forward,False
182,0.99,0.0916,0.4868,walk_forward,False
183,0.991,0.1041,0.4756,walk_forward,False
184,0.992,0.1057,0.4759,walk_forward,False
185,0.9929,0.1162,0.4672,walk_forward,False
186,0.9937,0.1033,0.4768,walk_forward,False
187,0.9944,0.0842,0.4872,walk_forward,False
188,0.995,0.0807,0.4834,walk_forward,False
189,0.9955,0.0703,0.4859,walk_forward,False
190,0.9959,0.0659,0.4904,walk_forward,False
191,0.9966,0.0978,0.4905,walk_forward,False
192,0.9973,0.1539,0.4677,walk_forward,False
193,0.9981,0.1967,0.4537,walk_forward,False
194,0.9988,0.2124,0.4526,walk_forward,False
195,0.9994,0.2107,0.4621,walk_forward,False
196,0.9997,0.206,0.4765,walk_forward,False
197,0.9999,0.1897,0.4935,walk_forward,False
198,1.0,0.1644,0.5266,walk_forward,False
199,1.0,0.1519,0.5512,walk_forward,False
200,0.9999,0.1267,0.5749,walk_forward,False
201,0.9999,0.0395,0.5391,walk_forward,False
202,1.0,0.1604,0.498,walk_forward,False
203,0.9999,0.3149,0.49,walk_forward,False
204,0.9994,0.3897,0.4611,walk_forward,False
205,0.9981,0.4373,0.4498,walk_forward,False
206,0.9961,0.4667,0.4825,walk_forward,False
207,0.9934,0.4202,0.4842,walk_forward,False
208,0.9905,0.3418,0.4524,walk_forward,False
209,0.9876,0.3136,0.5109,walk_forward,False
210,0.9852,0.2132,0.5097,walk_forward,False
211,0.9834,0.1193,0.5332,walk_forward,False
212,0.983,0.0237,0.519,walk_forward,False
213,0.983,0.0722,0.5471,walk_forward,False
214,0.9838,0.1069,0.5254,walk_forward,False
215,0.9846,0.1212,0.5409,walk_forward,False
216,0.9856,0.1046,0.529,walk_forward,False
217,0.9864,0.0919,0.5197,walk_forward,False
218,0.9871,0.0878,0.504,walk_forward,False
219,0.9878,0.0696,0.5088,walk_forward,False
220,0.9884,0.0489,0.5032,walk_forward,False
221,0.9891,0.0688,0.5041,walk_forward,False
222,0.99,0.0949,0.4837,walk_forward,False
223,0.991,0.1046,0.4771,walk_forward,False
224,0.992,0.1044,0.4777,walk_forward,False
225,0.9929,0.1172,0.4668,walk_forward,False
226,0.9937,0.1052,0.4762,walk_forward,False
227,0.9944,0.084,0.4886,walk_forward,False
228,0.995,0.0801,0.4846,walk_forward,False
229,0.9955,0.0718,0.4856,walk_forward,False
230,0.9959,0.0668,0.4902,walk_forward,False
231,0.9966,0.0968,0.4916,walk_forward,False
232,0.9973,0.1541,0.4681,walk_forward,False
233,0.9981,0.1978,0.453,walk_forward,False
234,0.9988,0.212,0.4528,walk_forward,False
235,0.9994,0.2103,0.4626,walk_forward,False
236,0.9997,0.2073,0.4758,walk_forward,False
237,0.9999,0.1899,0.4929,walk_forward,False
238,1.0,0.1636,0.5271,walk_forward,False
239,1.0,0.1525,0.551,walk_forward,False
240,0.9999,0.127,0.5743,walk_forward,False
241,0.9999,0.0405,0.54,walk_forward,False
242,1.0,0.1608,0.4989,walk_forward,False
243,0.9999,0.3135,0.4895,walk_forward,False
244,0.9994,0.3897,0.4606,walk_forward,False
245,0.9981,0.4388,0.4506,walk_forward,False
246,0.9961,0.466,0.4817,walk_forward,False
247,0.9934,0.4196,0.4831,walk_forward,False
248,0.9905,0.3435,0.4536,walk_forward,False
249,0.9876,0.3067,0.5055,walk_forward,False
250,0.9851,0.2209,0.5174,walk_forward,False
251,0.9834,0.1143,0.5282,walk_forward,False
252,0.9829,0.0276,0.5185,walk_forward,False
253,0.983,0.0777,0.5501,walk_forward,False
254,0.9837,0.1113,0.5291,walk_forward,False
255,0.9846,0.1208,0.5418,walk_forward,False
256,0.9856,0.1044,0.533,walk_forward,False
257,0.9864,0.0969,0.5133,walk_forward,False
