step,upright,speed,reward,skill_name,fault_active,reconnect_active
106,0.9945,0.1851,0.4834,flat_walk_trot,False,False
107,0.9956,0.1632,0.5075,flat_walk_trot,False,False
108,0.9971,0.3487,0.5221,flat_walk_trot,False,False
109,0.9987,0.4423,0.4915,flat_walk_trot,False,False
110,0.9996,0.5046,0.4946,flat_walk_trot,False,False
111,1.0,0.6003,0.5016,flat_walk_trot,False,False
112,0.9996,0.5173,0.4293,flat_walk_trot,False,False
113,0.9997,0.459,0.3809,flat_walk_trot,False,False
114,0.9995,0.4613,0.5121,flat_walk_trot,False,False
115,0.9991,0.3253,0.4585,flat_walk_trot,False,False
116,0.9987,0.1828,0.468,flat_walk_trot,False,False
117,0.9976,0.0806,0.4773,flat_walk_trot,False,False
118,0.9974,0.1444,0.406,flat_walk_trot,False,False
119,0.9975,0.2261,0.6079,flat_walk_trot,False,False
120,0.997,0.1334,0.6161,flat_walk_trot,False,False
121,0.9978,0.1432,0.5462,flat_walk_trot,False,False
122,0.9982,0.3454,0.5697,flat_walk_trot,False,False
123,0.9992,0.472,0.514,flat_walk_trot,False,False
124,0.9998,0.4482,0.6003,flat_walk_trot,False,False
125,0.9999,0.3895,0.853,flat_walk_trot,False,False
126,0.9998,0.4278,0.9022,flat_walk_trot,False,False
127,0.9996,0.356,0.8036,flat_walk_trot,False,False
128,0.9996,0.4334,0.586,flat_walk_trot,False,False
129,0.9991,0.3868,0.5053,flat_walk_trot,False,False
130,0.9987,0.3326,0.5227,flat_walk_trot,False,False
131,0.9978,0.2595,0.455,flat_walk_trot,False,False
132,0.9963,0.2484,0.4798,flat_walk_trot,False,False
133,0.9953,0.2797,0.5089,flat_walk_trot,False,False
134,0.9945,0.2564,0.5116,flat_walk_trot,False,False
135,0.9938,0.2146,0.5317,flat_walk_trot,False,False
136,0.9945,0.1775,0.4829,flat_walk_trot,False,False
137,0.9955,0.1934,0.4899,flat_walk_trot,False,False
138,0.997,0.327,0.5239,flat_walk_trot,False,False
139,0.9985,0.4198,0.4952,flat_walk_trot,False,False
140,0.9995,0.4906,0.4795,flat_walk_trot,False,False
141,1.0,0.5727,0.489,flat_walk_trot,False,False
142,0.9997,0.5713,0.4564,flat_walk_trot,False,False
143,0.9996,0.3976,0.3845,flat_walk_trot,False,False
144,0.9996,0.4914,0.4869,flat_walk_trot,False,False
145,0.9991,0.3485,0.4871,flat_walk_trot,False,False
146,0.9988,0.2312,0.4538,flat_walk_trot,False,False
147,0.9977,0.1072,0.5031,flat_walk_trot,False,False
148,0.9974,0.1255,0.4288,flat_walk_trot,False,False
149,0.9975,0.1587,0.5604,flat_walk_trot,False,False
150,0.997,0.1364,0.6211,flat_walk_trot,False,False
151,0.9977,0.152,0.5366,flat_walk_trot,False,False
152,0.9983,0.3405,0.5636,flat_walk_trot,False,False
153,0.9991,0.4749,0.5234,flat_walk_trot,False,False
154,0.9998,0.408,0.5999,flat_walk_trot,False,False
155,0.9999,0.3935,0.8598,flat_walk_trot,False,False
156,0.9999,0.4046,0.8869,flat_walk_trot,False,False
157,0.9995,0.3322,0.7993,flat_walk_trot,False,False
158,0.9996,0.3941,0.6188,flat_walk_trot,False,False
159,0.9991,0.4026,0.4702,flat_walk_trot,False,False
160,0.9986,0.3381,0.4908,flat_walk_trot,False,False
161,0.9977,0.2786,0.4451,flat_walk_trot,False,False
162,0.9961,0.2615,0.4464,flat_walk_trot,False,False
163,0.9954,0.2949,0.5062,flat_walk_trot,False,False
164,0.9946,0.2602,0.4956,flat_walk_trot,False,False
165,0.9937,0.2172,0.4932,flat_walk_trot,False,False
166,0.9945,0.2023,0.505,flat_walk_trot,False,False
167,0.9956,0.1564,0.5048,flat_walk_trot,False,False
168,0.9971,0.3353,0.5152,flat_walk_trot,False,False
169,0.9986,0.4198,0.5036,flat_walk_trot,False,False
170,0.9996,0.4853,0.4879,flat_walk_trot,False,False
171,1.0,0.5796,0.4907,flat_walk_trot,False,False
172,0.9996,0.5644,0.4553,flat_walk_trot,False,False
173,0.9996,0.3968,0.3929,flat_walk_trot,False,False
174,0.9996,0.4776,0.4984,flat_walk_trot,False,False
175,0.9991,0.3334,0.4858,flat_walk_trot,False,False
176,0.9989,0.2198,0.4602,flat_walk_trot,False,False
177,0.9978,0.0989,0.4938,flat_walk_trot,False,False
178,0.9974,0.149,0.4188,flat_walk_trot,False,False
179,0.9975,0.1896,0.5723,flat_walk_trot,False,False
180,0.997,0.1688,0.6422,flat_walk_trot,False,False
181,0.9977,0.1317,0.5523,flat_walk_trot,False,False
182,0.9983,0.3252,0.5811,flat_walk_trot,False,False
183,0.9992,0.4622,0.5332,flat_walk_trot,False,False
184,0.9998,0.4981,0.5821,flat_walk_trot,False,False
185,0.9999,0.3591,0.8259,flat_walk_trot,False,False
186,0.9998,0.4323,0.9039,flat_walk_trot,False,False
187,0.9995,0.3502,0.802,flat_walk_trot,False,False
188,0.9995,0.4165,0.6211,flat_walk_trot,False,False
189,0.9991,0.4227,0.4948,flat_walk_trot,False,False
190,0.9986,0.3414,0.4946,flat_walk_trot,False,False
