method,step,speed,upright,fault_active,reconnect_active
HERA,160,0.5136,0.9702,False,False
HERA,161,0.4065,0.9717,False,False
HERA,162,0.2489,0.9774,False,False
HERA,163,0.3951,0.9849,False,False
HERA,164,0.5414,0.991,False,False
HERA,165,0.6941,0.9957,False,False
HERA,166,0.8183,0.9989,False,False
HERA,167,1.0095,1.0,False,False
HERA,168,1.0176,0.9985,False,False
HERA,169,1.1878,0.9948,False,False
HERA,170,1.2406,0.988,False,False
HERA,171,1.2278,0.9821,False,False
HERA,172,1.0852,0.984,False,False
HERA,173,1.1363,0.9829,False,False
HERA,174,0.9514,0.982,False,False
HERA,175,0.7578,0.9806,False,False
HERA,176,0.5223,0.9799,False,False
HERA,177,0.3216,0.9793,False,False
HERA,178,0.216,0.9786,False,False
HERA,179,0.2125,0.978,False,False
HERA,180,0.3691,0.9763,False,False
HERA,181,0.6062,0.9772,False,False
HERA,182,0.7964,0.9813,False,False
HERA,183,0.8527,0.9858,False,False
HERA,184,0.7719,0.9897,False,False
HERA,185,0.806,0.9948,False,False
HERA,186,0.9246,0.9984,False,False
HERA,187,1.0386,0.9999,False,False
HERA,188,1.2211,0.9988,False,False
HERA,189,1.339,0.9955,False,False
HERA,190,1.4027,0.9902,False,False
HERA,191,1.2169,0.9868,False,False
HERA,192,1.3333,0.9868,False,False
HERA,193,1.1038,0.983,False,False
HERA,194,0.9286,0.9807,False,False
HERA,195,0.7217,0.9776,False,False
HERA,196,0.588,0.9758,False,False
HERA,197,0.4912,0.9734,False,False
HERA,198,0.504,0.9717,False,False
HERA,199,0.4552,0.9699,False,False
HERA,200,0.2619,0.9699,False,False
HERA,201,0.1721,0.9719,False,False
HERA,202,0.2492,0.9767,False,False
HERA,203,0.385,0.9824,False,False
HERA,204,0.5501,0.9876,False,False
HERA,205,0.6858,0.9927,False,False
HERA,206,0.8633,0.9967,False,False
HERA,207,0.9809,0.9992,False,False
HERA,208,1.1165,0.9999,False,False
HERA,209,1.2094,0.9983,False,False
HERA,210,1.2594,0.9944,False,False
HERA,211,1.3412,0.9888,False,False
HERA,212,1.3743,0.9824,False,False
HERA,213,1.066,0.9811,False,False
HERA,214,1.0895,0.9813,False,False
HERA,215,0.8597,0.979,False,False
HERA,216,0.7148,0.9781,False,False
HERA,217,0.5404,0.9766,False,False
HERA,218,0.4434,0.976,False,False
HERA,219,0.4265,0.9738,False,False
HERA,220,0.5255,0.9723,False,False
HERA,221,0.6945,0.9728,False,False
HERA,222,0.7284,0.9761,False,False
HERA,223,0.3817,0.981,False,False
HERA,224,0.5555,0.9871,False,False
HERA,225,0.6797,0.9932,False,False
HERA,226,0.8871,0.9972,False,False
HERA,227,0.9307,0.9997,False,False
HERA,228,1.1236,0.9996,False,False
HERA,229,1.1469,0.9968,False,False
HERA,230,1.2689,0.9915,False,False
HERA,231,1.3197,0.9847,False,False
HERA,232,1.0245,0.9816,False,False
HERA,233,1.0885,0.9827,False,False
HERA,234,0.8488,0.9797,False,False
HERA,235,0.6833,0.9786,False,False
HERA,236,0.4829,0.9765,False,False
HERA,237,0.3727,0.9754,False,False
HERA,238,0.3201,0.9732,False,False
HERA,239,0.4308,0.9712,False,False
HERA,240,0.5242,0.9688,False,False
HERA,241,0.2461,0.9722,False,False
HERA,242,0.2686,0.9772,False,False
HERA,243,0.4156,0.9846,False,False
HERA,244,0.5884,0.9901,False,False
HERA,245,0.729,0.995,False,False
HERA,246,0.8656,0.9985,False,False
HERA,247,1.0168,1.0,False,False
HERA,248,1.0666,0.9991,False,False
HERA,249,1.2422,0.996,False,False
HERA,250,1.2621,0.9897,False,False
HERA,251,1.1595,0.9835,False,False
HERA,252,0.9941,0.9841,False,False
HERA,253,0.8839,0.9813,False,False
HERA,254,0.6976,0.9786,False,False
HERA,255,0.492,0.9761,False,False
HERA,256,0.4213,0.974,False,False
HERA,257,0.364,0.9716,False,False
HERA,258,0.3482,0.9701,False,False
HERA,259,0.2157,0.9709,False,False
HERA,260,0.0302,0.9697,False,False
HERA,261,0.2447,0.9714,False,False
HERA,262,0.3635,0.9751,False,False
HERA,263,0.4986,0.9799,False,False
HERA,264,0.6679,0.9855,False,False
HERA,265,0.8755,0.9906,False,False
HERA,266,1.0351,0.9954,False,False
HERA,267,1.2374,0.9985,False,False
HERA,268,1.3037,1.0,False,False
HERA,269,1.3997,0.999,False,False
HERA,270,1.4903,0.9956,False,False
HERA,271,1.4573,0.9897,False,False
HERA,272,1.5061,0.9833,False,False
HERA,273,1.2603,0.9788,False,False
HERA,274,1.2276,0.9807,False,False
HERA,275,0.9326,0.9776,False,False
HERA,276,0.781,0.9774,False,False
HERA,277,0.5999,0.976,False,False
HERA,278,0.5011,0.9762,False,False
HERA,279,0.4534,0.9752,False,False
HERA,280,0.5164,0.9739,False,False
HERA,281,0.6728,0.975,False,False
HERA,282,0.8199,0.9798,False,False
HERA,283,0.7865,0.984,False,False
HERA,284,0.6104,0.9879,False,False
HERA,285,0.5868,0.9935,False,False
HERA,286,0.685,0.9975,False,False
HERA,287,0.7603,0.9998,False,False
HERA,288,0.9441,0.9994,False,False
HERA,289,1.0206,0.9956,False,False
HERA,290,1.1893,0.9905,False,False
HERA,291,1.1127,0.9878,False,False
HERA,292,1.0731,0.9878,False,False
HERA,293,0.9281,0.9842,False,False
HERA,294,0.7936,0.9819,False,False
HERA,295,0.6264,0.9781,False,False
HERA,296,0.5467,0.9755,False,False
HERA,297,0.4709,0.9726,False,False
HERA,298,0.4164,0.9717,False,False
HERA,299,0.2872,0.9712,False,False
HERA,300,0.1738,0.97,False,False
HERA,301,0.2546,0.9712,False,False
HERA,302,0.2836,0.9746,False,False
HERA,303,0.4253,0.9791,False,False
HERA,304,0.5982,0.9846,False,False
HERA,305,0.8295,0.9895,False,False
HERA,306,0.9998,0.9943,False,False
HERA,307,1.2039,0.9977,False,False
HERA,308,1.311,0.9997,False,False
HERA,309,1.3703,0.9997,False,False
HERA,310,1.482,0.9976,False,False
HERA,311,1.4414,0.9932,False,False
HERA,312,1.4483,0.9879,False,False
HERA,313,1.5086,0.9813,False,False
HERA,314,1.2256,0.9766,False,False
HERA,315,1.1457,0.9789,False,False
HERA,316,0.8948,0.9763,False,False
HERA,317,0.7538,0.9779,False,False
HERA,318,0.5785,0.9771,False,False
HERA,319,0.4732,0.9776,False,False
HERA,320,0.4107,0.9768,False,False
HERA,321,0.5288,0.9791,False,False
HERA,322,0.6488,0.9841,False,False
HERA,323,0.7943,0.9901,False,False
HERA,324,0.9153,0.9948,False,False
HERA,325,0.7146,0.9969,False,False
HERA,326,0.7057,0.9994,False,False
HERA,327,0.6899,0.9998,False,False
HERA,328,0.8117,0.9982,False,False
HERA,329,0.867,0.9952,False,False
HERA,330,1.0334,0.9912,False,False
HERA,331,0.8278,0.9886,False,False
HERA,332,0.8727,0.9878,False,False
HERA,333,1.0088,0.9872,False,False
HERA,334,0.8629,0.9848,False,False
HERA,335,0.714,0.982,False,False
HERA,336,0.5504,0.9787,False,False
HERA,337,0.4412,0.9758,False,False
HERA,338,0.3805,0.9729,False,False
HERA,339,0.3589,0.9713,False,False
HERA,340,0.1827,0.972,False,False
HERA,341,0.0857,0.9731,False,False
HERA,342,0.2539,0.9776,False,False
HERA,343,0.3835,0.9822,False,False
HERA,344,0.5622,0.9871,False,False
HERA,345,0.7364,0.992,False,False
HERA,346,0.961,0.9958,False,False
HERA,347,1.0769,0.9989,False,False
HERA,348,1.23,1.0,False,False
HERA,349,1.3019,0.9991,False,False
HERA,350,1.3193,0.9956,False,False
HERA,351,1.4108,0.9906,False,False
HERA,352,1.4053,0.9847,False,False
HERA,353,1.1976,0.9791,False,False
HERA,354,1.1762,0.9812,False,False
HERA,355,0.9217,0.9784,False,False
HERA,356,0.7745,0.9787,False,False
HERA,357,0.5835,0.9775,False,False
HERA,358,0.46,0.9772,False,False
HERA,359,0.3823,0.9762,False,False
HERA,360,0.445,0.9751,False,False
HERA,361,0.5982,0.9763,False,False
HERA,362,0.7542,0.981,False,False
HERA,363,0.8522,0.9862,False,False
HERA,364,0.6483,0.9895,False,False
HERA,365,0.6495,0.9944,False,False
HERA,366,0.6929,0.9981,False,False
HERA,367,0.8174,0.9999,False,False
HERA,368,0.9084,0.999,False,False
HERA,369,1.0773,0.9951,False,False
HERA,370,1.1359,0.9904,False,False
HERA,371,0.9178,0.9877,False,False
HERA,372,0.9732,0.9874,False,False
HERA,373,0.8561,0.9847,False,False
HERA,374,0.7606,0.9807,False,False
HERA,375,0.6925,0.9774,False,False
HERA,376,0.5902,0.9746,False,False
HERA,377,0.506,0.9721,False,False
HERA,378,0.4031,0.9704,False,False
HERA,379,0.3165,0.969,False,False
HERA,380,0.1813,0.9682,False,False
HERA,381,0.1347,0.9691,False,False
HERA,382,0.2698,0.972,False,False
HERA,383,0.4266,0.9759,False,False
HERA,384,0.6517,0.9804,False,False
HERA,385,0.8953,0.9853,False,False
HERA,386,1.1315,0.9901,False,False
HERA,387,1.3395,0.9943,False,False
HERA,388,1.4868,0.9976,False,False
HERA,389,1.5944,0.9996,False,False
HERA,390,1.6439,0.9999,False,False
HERA,391,1.6198,0.9983,False,False
HERA,392,1.5469,0.9953,False,False
HERA,393,1.5274,0.9905,False,False
HERA,394,1.5608,0.9841,False,False
HERA,395,1.6261,0.9762,False,False
HERA,396,1.3346,0.971,False,False
HERA,397,0.9959,0.9739,False,False
HERA,398,0.7526,0.9706,False,False
HERA,399,0.6193,0.9714,False,False
HERA,400,0.4988,0.9706,False,False
HERA,401,0.5436,0.9748,False,False
HERA,402,0.62,0.9811,False,False
HERA,403,0.7529,0.9887,False,False
HERA,404,0.7509,0.9934,False,False
HERA,405,0.5562,0.9961,False,False
HERA,406,0.5531,0.9992,False,False
HERA,407,0.564,1.0,False,False
HERA,408,0.6312,0.9981,False,False
HERA,409,0.7633,0.9944,False,False
HERA,410,0.8963,0.9907,False,False
HERA,411,0.6556,0.9871,False,False
HERA,412,0.8006,0.9871,False,False
HERA,413,0.9189,0.9872,False,False
HERA,414,0.7897,0.9845,False,False
HERA,415,0.6704,0.9817,False,False
HERA,416,0.5272,0.9784,False,False
HERA,417,0.453,0.9751,False,False
HERA,418,0.4,0.9731,False,False
HERA,419,0.3195,0.9721,False,False
HERA,420,0.1979,0.9716,False,False
HERA,421,0.1392,0.9727,False,False
HERA,422,0.2567,0.9759,False,False
HERA,423,0.388,0.9805,False,False
HERA,424,0.5831,0.9852,False,False
HERA,425,0.7813,0.9902,False,False
HERA,426,0.9977,0.9945,False,False
HERA,427,1.1669,0.9978,False,False
HERA,428,1.2816,0.9997,False,False
HERA,429,1.4016,0.9997,False,False
HERA,430,1.4175,0.9973,False,False
HERA,431,1.438,0.9931,False,False
HERA,432,1.4528,0.988,False,False
HERA,433,1.478,0.9811,False,False
HERA,434,1.1753,0.9776,False,False
HERA,435,1.045,0.9783,False,False
HERA,436,0.8266,0.9756,False,False
HERA,437,0.6787,0.9762,False,False
HERA,438,0.5436,0.9751,False,False
HERA,439,0.4845,0.9746,False,False
HERA,440,0.5063,0.9727,False,False
HERA,441,0.6585,0.9743,False,False
HERA,442,0.7867,0.9791,False,False
HERA,443,0.6939,0.9831,False,False
HERA,444,0.5676,0.9873,False,False
HERA,445,0.5362,0.9926,False,False
HERA,446,0.6678,0.9966,False,False
HERA,447,0.7613,0.9994,False,False
HERA,448,0.9636,0.9996,False,False
HERA,449,1.0118,0.9969,False,False
HERA,450,1.1736,0.9919,False,False
HERA,451,1.2256,0.9868,False,False
HERA,452,1.0493,0.986,False,False
HERA,453,1.026,0.9844,False,False
HERA,454,0.8674,0.9819,False,False
HERA,455,0.6977,0.9793,False,False
HERA,456,0.5271,0.9769,False,False
HERA,457,0.4224,0.9749,False,False
HERA,458,0.4257,0.9725,False,False
HERA,459,0.4768,0.97,False,False
HERA,460,0.2077,0.9709,False,False
HERA,461,0.0624,0.9729,False,False
HERA,462,0.2658,0.9781,False,False
HERA,463,0.3839,0.9834,False,False
HERA,464,0.5648,0.9883,False,False
HERA,465,0.6809,0.9935,False,False
HERA,466,0.8881,0.9971,False,False
HERA,467,0.9749,0.9995,False,False
HERA,468,1.1489,0.9999,False,False
HERA,469,1.2141,0.9979,False,False
HERA,470,1.2489,0.9933,False,False
HERA,471,1.3649,0.9874,False,False
HERA,472,1.2466,0.9813,False,False
HERA,473,1.0624,0.9821,False,False
HERA,474,0.9812,0.9808,False,False
HERA,475,0.7739,0.9793,False,False
HERA,476,0.5832,0.9782,False,False
HERA,477,0.4573,0.9769,False,False
HERA,478,0.3429,0.9755,False,False
HERA,479,0.3828,0.9734,False,False
HERA,480,0.4884,0.9716,False,False
HERA,481,0.6862,0.9718,False,False
HERA,482,0.6125,0.9749,False,False
HERA,483,0.4295,0.9802,False,False
HERA,484,0.5903,0.9868,False,False
HERA,485,0.739,0.9927,False,False
HERA,486,0.8988,0.9971,False,False
HERA,487,1.0047,0.9995,False,False
HERA,488,1.1575,0.9996,False,False
HERA,489,1.1737,0.9968,False,False
HERA,490,1.318,0.9918,False,False
HERA,491,1.2971,0.9847,False,False
HERA,492,1.0411,0.9819,False,False
HERA,493,1.0712,0.9827,False,False
HERA,494,0.8374,0.9794,False,False
HERA,495,0.6687,0.9782,False,False
HERA,496,0.4872,0.9757,False,False
HERA,497,0.401,0.9745,False,False
HERA,498,0.3852,0.9718,False,False
HERA,499,0.4784,0.9698,False,False
HERA,500,0.2529,0.9699,True,True
HERA,501,0.1502,0.9721,True,True
HERA,502,0.202,0.9752,True,True
HERA,503,0.3855,0.9783,True,True
HERA,504,0.5589,0.982,True,True
HERA,505,0.6586,0.9838,True,True
HERA,506,0.7468,0.9858,True,True
HERA,507,0.8113,0.9886,True,True
HERA,508,0.848,0.9914,True,True
HERA,509,0.8393,0.9941,True,True
HERA,510,0.7973,0.9962,True,True
HERA,511,0.7413,0.9976,True,True
HERA,512,0.6785,0.9987,True,True
HERA,513,0.6119,0.9994,True,True
HERA,514,0.5193,0.9998,True,True
HERA,515,0.4441,1.0,True,True
HERA,516,0.3653,1.0,True,True
HERA,517,0.2807,0.9999,True,True
HERA,518,0.2154,0.9998,True,True
HERA,519,0.1504,0.9998,True,True
HERA,520,0.1027,0.9997,True,True
HERA,521,0.0722,0.9997,True,True
HERA,522,0.0623,0.9997,True,True
HERA,523,0.0693,0.9997,True,True
HERA,524,0.0801,0.9998,True,True
HERA,525,0.0865,0.9998,True,True
HERA,526,0.0883,0.9999,True,True
HERA,527,0.0884,0.9999,True,True
HERA,528,0.0833,0.9999,True,True
HERA,529,0.0777,1.0,True,True
HERA,530,0.0711,1.0,True,True
HERA,531,0.0634,1.0,True,True
HERA,532,0.0576,1.0,True,True
HERA,533,0.0516,1.0,True,True
HERA,534,0.0467,1.0,True,True
HERA,535,0.0424,1.0,True,True
HERA,536,0.0386,1.0,True,True
HERA,537,0.0349,1.0,True,True
HERA,538,0.031,1.0,True,True
HERA,539,0.0272,1.0,True,True
HERA,540,0.0233,1.0,True,True
HERA,541,0.0194,1.0,True,True
HERA,542,0.0155,1.0,True,True
HERA,543,0.012,1.0,True,True
HERA,544,0.0089,1.0,True,True
HERA,545,0.0066,1.0,True,True
HERA,546,0.0056,1.0,True,True
HERA,547,0.006,1.0,True,True
HERA,548,0.0071,1.0,True,True
HERA,549,0.0082,1.0,True,True
HERA,550,0.0093,1.0,True,True
HERA,551,0.0101,1.0,True,True
HERA,552,0.0107,1.0,True,True
HERA,553,0.0111,1.0,True,True
HERA,554,0.0113,1.0,True,True
HERA,555,0.0113,1.0,True,True
HERA,556,0.0111,1.0,True,True
HERA,557,0.0109,1.0,True,True
HERA,558,0.0106,1.0,True,True
HERA,559,0.0102,1.0,True,True
HERA,560,0.0097,1.0,True,True
HERA,561,0.0092,1.0,True,True
HERA,562,0.0087,1.0,True,True
HERA,563,0.0082,1.0,True,True
HERA,564,0.0077,1.0,True,True
HERA,565,0.0072,1.0,True,True
HERA,566,0.0068,1.0,True,True
HERA,567,0.0064,1.0,True,True
HERA,568,0.006,1.0,True,True
HERA,569,0.0057,1.0,True,True
HERA,570,0.0055,1.0,True,True
HERA,571,0.0053,1.0,True,True
HERA,572,0.0052,1.0,True,True
HERA,573,0.005,1.0,True,True
HERA,574,0.0049,1.0,True,True
HERA,575,0.0048,1.0,True,True
HERA,576,0.0047,1.0,True,True
HERA,577,0.0047,1.0,True,True
HERA,578,0.0046,1.0,True,True
HERA,579,0.0045,1.0,True,True
HERA,580,0.0044,1.0,True,True
HERA,581,0.0043,1.0,True,True
HERA,582,0.0042,1.0,True,True
HERA,583,0.0041,1.0,True,True
HERA,584,0.004,1.0,True,True
HERA,585,0.0039,1.0,True,True
HERA,586,0.0038,1.0,True,True
HERA,587,0.0037,1.0,True,True
HERA,588,0.0036,1.0,True,True
HERA,589,0.0035,1.0,True,True
HERA,590,0.0034,1.0,True,True
HERA,591,0.0033,1.0,True,True
HERA,592,0.0032,1.0,True,True
HERA,593,0.0031,1.0,True,True
HERA,594,0.003,1.0,True,True
HERA,595,0.0029,1.0,True,True
HERA,596,0.0028,1.0,True,True
HERA,597,0.0027,1.0,True,True
HERA,598,0.0027,1.0,True,True
HERA,599,0.0026,1.0,True,True
HERA,600,0.0025,1.0,True,True
HERA,601,0.0025,1.0,True,True
HERA,602,0.0024,1.0,True,True
HERA,603,0.0023,1.0,True,True
HERA,604,0.0023,1.0,True,True
HERA,605,0.0022,1.0,True,True
HERA,606,0.0022,1.0,True,True
HERA,607,0.0021,1.0,True,True
HERA,608,0.0021,1.0,True,True
HERA,609,0.002,1.0,True,True
HERA,610,0.002,1.0,True,True
HERA,611,0.0019,1.0,True,True
HERA,612,0.0019,1.0,True,True
HERA,613,0.0018,1.0,True,True
HERA,614,0.0018,1.0,True,True
HERA,615,0.0017,1.0,True,True
HERA,616,0.0017,1.0,True,True
HERA,617,0.0016,1.0,True,True
HERA,618,0.0016,1.0,True,True
HERA,619,0.0015,1.0,True,True
HERA,620,0.0015,1.0,True,True
HERA,621,0.0015,1.0,True,True
HERA,622,0.0014,1.0,True,True
HERA,623,0.0014,1.0,True,True
HERA,624,0.0013,1.0,True,True
HERA,625,0.0013,1.0,True,True
HERA,626,0.0013,1.0,True,True
HERA,627,0.0012,1.0,True,True
HERA,628,0.0012,1.0,True,True
HERA,629,0.0012,1.0,True,True
HERA,630,0.0012,1.0,True,True
HERA,631,0.0011,1.0,True,True
HERA,632,0.0011,1.0,True,True
HERA,633,0.0011,1.0,True,True
HERA,634,0.001,1.0,True,True
HERA,635,0.001,1.0,True,True
HERA,636,0.001,1.0,True,True
HERA,637,0.001,1.0,True,True
HERA,638,0.0009,1.0,True,True
HERA,639,0.0009,1.0,True,True
HERA,640,0.0009,1.0,True,True
HERA,641,0.0009,1.0,True,True
HERA,642,0.0008,1.0,True,True
HERA,643,0.0008,1.0,True,True
HERA,644,0.0008,1.0,True,True
HERA,645,0.0008,1.0,True,True
HERA,646,0.0008,1.0,True,True
HERA,647,0.0007,1.0,True,True
HERA,648,0.0007,1.0,True,True
HERA,649,0.0007,1.0,True,True
HERA,650,0.0007,1.0,True,True
HERA,651,0.0007,1.0,True,True
HERA,652,0.0006,1.0,True,True
HERA,653,0.0006,1.0,True,True
HERA,654,0.0006,1.0,True,True
HERA,655,0.0006,1.0,True,True
HERA,656,0.0006,1.0,True,True
HERA,657,0.0006,1.0,True,True
HERA,658,0.0006,1.0,True,True
HERA,659,0.0005,1.0,True,True
HERA,660,0.0005,1.0,True,True
HERA,661,0.0005,1.0,True,True
HERA,662,0.0005,1.0,True,True
HERA,663,0.0005,1.0,True,True
HERA,664,0.0005,1.0,True,True
HERA,665,0.0005,1.0,True,True
HERA,666,0.0005,1.0,True,True
HERA,667,0.0004,1.0,True,True
HERA,668,0.0004,1.0,True,True
HERA,669,0.0004,1.0,True,True
HERA,670,0.0004,1.0,True,True
HERA,671,0.0004,1.0,True,True
HERA,672,0.0004,1.0,True,True
HERA,673,0.0004,1.0,True,True
HERA,674,0.0004,1.0,True,True
HERA,675,0.0004,1.0,True,True
HERA,676,0.0003,1.0,True,True
HERA,677,0.0003,1.0,True,True
HERA,678,0.0003,1.0,True,True
HERA,679,0.0003,1.0,True,True
HERA,680,0.0003,1.0,True,True
HERA,681,0.0003,1.0,True,True
HERA,682,0.0003,1.0,True,True
HERA,683,0.0003,1.0,True,True
HERA,684,0.0003,1.0,True,True
HERA,685,0.0003,1.0,True,True
HERA,686,0.0003,1.0,True,True
HERA,687,0.0003,1.0,True,True
HERA,688,0.0003,1.0,True,True
HERA,689,0.0002,1.0,True,True
HERA,690,0.0002,1.0,True,True
HERA,691,0.0002,1.0,True,True
HERA,692,0.0002,1.0,True,True
HERA,693,0.0002,1.0,True,True
HERA,694,0.0002,1.0,True,True
HERA,695,0.0002,1.0,True,True
HERA,696,0.0002,1.0,True,True
HERA,697,0.0002,1.0,True,True
HERA,698,0.0002,1.0,True,True
HERA,699,0.0,1.0,True,True
HERA,700,0.0061,1.0,True,True
HERA,701,0.0357,1.0,True,True
HERA,702,0.0812,1.0,True,True
HERA,703,0.1113,1.0,True,True
HERA,704,0.1253,1.0,True,True
HERA,705,0.1408,1.0,True,True
HERA,706,0.0907,1.0,True,True
HERA,707,0.1198,1.0,True,True
HERA,708,0.0467,1.0,True,True
HERA,709,0.0522,1.0,True,True
HERA,710,0.0405,1.0,True,True
HERA,711,0.0313,1.0,True,True
HERA,712,0.0083,1.0,True,True
