step,upright,speed,reward,skill_name,fault_active,emergency_pending
107,0.9953,0.2412,0.4268,flat_walk_trot,False,False
108,0.9967,0.3251,0.4296,flat_walk_trot,False,False
109,0.9983,0.3922,0.4375,flat_walk_trot,False,False
110,0.9994,0.415,0.5103,flat_walk_trot,False,False
111,1.0,0.5248,0.4882,flat_walk_trot,False,False
112,0.9998,0.5624,0.456,flat_walk_trot,False,False
113,0.9995,0.4407,0.5385,flat_walk_trot,False,False
114,0.9996,0.5235,0.6688,flat_walk_trot,False,False
115,0.9992,0.4126,0.6486,flat_walk_trot,False,False
116,0.999,0.3068,0.5873,flat_walk_trot,False,False
117,0.9979,0.2422,0.6679,flat_walk_trot,False,False
118,0.9974,0.1763,0.5684,flat_walk_trot,False,False
119,0.9973,0.1552,0.6102,flat_walk_trot,False,False
120,0.9968,0.2276,0.7233,flat_walk_trot,False,False
121,0.9974,0.1941,0.6147,flat_walk_trot,False,False
122,0.998,0.3416,0.629,flat_walk_trot,False,False
123,0.9986,0.45,0.6157,flat_walk_trot,False,False
124,0.9994,0.3688,0.6125,flat_walk_trot,False,False
125,0.9998,0.3398,0.6459,flat_walk_trot,False,False
126,0.9998,0.2587,0.4542,flat_walk_trot,False,False
127,0.9997,0.4367,0.3655,flat_walk_trot,False,False
128,0.9994,0.3848,0.4277,flat_walk_trot,False,False
129,0.9989,0.381,0.3652,flat_walk_trot,False,False
130,0.9977,0.3228,0.4217,flat_walk_trot,False,False
131,0.9968,0.3556,0.5254,flat_walk_trot,False,False
132,0.9959,0.3493,0.5627,flat_walk_trot,False,False
133,0.9947,0.3351,0.6344,flat_walk_trot,False,False
134,0.9939,0.311,0.5969,flat_walk_trot,False,False
135,0.9934,0.2262,0.4932,flat_walk_trot,False,False
136,0.9935,0.1691,0.5472,flat_walk_trot,False,False
137,0.9948,0.231,0.5332,flat_walk_trot,False,False
138,0.9964,0.2802,0.464,flat_walk_trot,False,False
139,0.9979,0.3655,0.4919,flat_walk_trot,False,False
140,0.9993,0.4473,0.49,flat_walk_trot,False,False
141,0.9999,0.5464,0.442,flat_walk_trot,False,False
142,0.9999,0.5779,0.4076,flat_walk_trot,False,False
143,0.9995,0.4878,0.4886,flat_walk_trot,False,False
144,0.9996,0.5283,0.6977,flat_walk_trot,False,False
145,0.9993,0.4851,0.7337,flat_walk_trot,False,False
146,0.9992,0.3631,0.6542,flat_walk_trot,False,False
